lang	name
de	Arabischer Frühling
af	Arabiese Lente
ar	الربيع العربي
arz	الربيع العربى
ast	Primavera Árabe
az	Ərəb baharı
ba	Ғәрәп яҙы
bar	Arabischa Friahling
be	Арабская вясна
be-tarask	Арабская вясна
bg	Арабски протести (2010 – 2012)
bn	আরব বসন্ত
bs	Arapsko proljeće
ca	Primavera Àrab
ckb	بەھاری عەرەبی
cs	Arabské jaro
cy	Y Gwanwyn Arabaidd
da	Protesterne i den arabiske verden 2010-2011
diq	Wesarê Erebi
el	Αραβική Άνοιξη
en	Arab Spring
en-simple	Arab Spring
eo	Araba printempo
es	Primavera Árabe (2010-2012)
et	Araabia kevad
eu	Arabiar Udaberria
fa	بهار عربی
fi	Arabikevät
fo	Arabiska várið
fr	Printemps arabe
ga	An tEarrach Arabach
gl	Primavera árabe
he	האביב הערבי
hi	२०१० से प्रारंभ होने वाली अरब जगत की क्रांतिकारी लहर
hr	Arapsko proljeće
hu	Arab tavasz
hy	Արաբական գարուն
hyw	Արաբական Գարուն
id	Kebangkitan dunia Arab
is	Arabíska vorið
it	Primavera araba
ja	アラブの春
ka	არაბული გაზაფხული
kab	Tafsut taɛrabt
ko	아랍의 봄
la	Ver Arabicum
lb	Arabescht Fréijoer
li	Arabisch Veurjaor
lt	Arabų pavasaris
lv	Arābu pavasaris
mk	Арапска пролет
ml	അറബ് വസന്തം
ms	Kebangkitan dunia Arab
my	အာရပ်နွေဦး
mzn	عربی بهار
nan	A-la-pek ê Chhun-thiⁿ
nb	Den arabiske våren
nl	Arabische Lente
oc	Prima Aràbia
pa	ਅਰਬ ਬਹਾਰ
pl	Arabska wiosna
pnb	عرب بسنت
pt	Primavera Árabe
ro	Primăvara arabă
ru	Арабская весна
sah	Улуу Араб долгуйуута
scn	Primavera àrabba
sco	Arab Ware
sh	Arapsko proljeće
sk	Arabská jar
sr	Арапско пролеће
sv	Arabiska våren
sw	Vuguvugu la Uarabuni
ta	அரேபிய வசந்தம்
th	อาหรับสปริง
tr	Arap Baharı
uk	Арабська весна
ur	عرب بہار
uz	Arab bahori
vi	Mùa xuân Ả Rập
wa	Prétins arabe
zea	Araobische Revolutie
zh	阿拉伯之春
ky	Арап жазы
wuu	阿拉伯之春
ne	अरब बसन्त
yue	阿拉伯之春
